행정동코드,시도명,시군구명,행정동명,총생활인구수
11290715,서울,성북구,월곡1동,24331.1972
11290725,서울,성북구,월곡2동,23204.79611
11290760,서울,성북구,장위1동,21156.14044
11290770,서울,성북구,장위2동,11830.26919
11290780,서울,성북구,장위3동,7223.856479
11290810,서울,성북구,석관동,27091.94835
11305534,서울,강북구,삼양동,23054.2297
11305535,서울,강북구,미아동,22700.51125
11305545,서울,강북구,송중동,35210.55723
11305555,서울,강북구,송천동,26840.70639
11305575,서울,강북구,삼각산동,22041.4351
11305590,서울,강북구,번1동,17476.48113
11305600,서울,강북구,번2동,13133.86716
11305606,서울,강북구,번3동,14998.91001
11305610,서울,강북구,수유1동,17696.88247
11305620,서울,강북구,수유2동,18352.76595
11305630,서울,강북구,수유3동,27876.27152
11305645,서울,강북구,우이동,18795.39081
11305660,서울,강북구,인수동,28366.51135
11320511,서울,도봉구,창1동,22108.7379
11320512,서울,도봉구,창2동,28754.60044
11320513,서울,도봉구,창3동,10429.31592
11320514,서울,도봉구,창4동,28720.69947
11320515,서울,도봉구,창5동,19912.32439
11320521,서울,도봉구,도봉1동,18508.38958
11320522,서울,도봉구,도봉2동,19545.82317
11320660,서울,도봉구,쌍문1동,17742.9435
11320670,서울,도봉구,쌍문2동,17303.032
11320680,서울,도봉구,쌍문3동,15889.74366
11320681,서울,도봉구,쌍문4동,13863.01587
11320690,서울,도봉구,방학1동,23493.77767
11320700,서울,도봉구,방학2동,11695.42007
11320710,서울,도봉구,방학3동,20896.91197
11350560,서울,노원구,월계1동,22835.4972
11350570,서울,노원구,월계2동,19940.02492
11350580,서울,노원구,월계3동,24930.41895
11350595,서울,노원구,공릉1동,42712.46742
11350600,서울,노원구,공릉2동,45512.40247
11350611,서울,노원구,하계1동,25366.68677
11350612,서울,노원구,하계2동,16094.86902
11350619,서울,노원구,중계본동,20713.53269
11350621,서울,노원구,중계1동,26006.89796
11350624,서울,노원구,중계4동,16253.30244
11350625,서울,노원구,중계2.3동,33056.18028
11350630,서울,노원구,상계1동,37168.07987
11350640,서울,노원구,상계2동,29379.338
11350665,서울,노원구,상계3.4동,20587.85635
11350670,서울,노원구,상계5동,18411.12482
11350695,서울,노원구,상계6.7동,46937.04948
11350700,서울,노원구,상계8동,18010.08177
11350710,서울,노원구,상계9동,18569.97262
11350720,서울,노원구,상계10동,13000.66069
11380510,서울,은평구,녹번동,34019.79849
11380520,서울,은평구,불광1동,30272.12038
11380530,서울,은평구,불광2동,21737.14741
11380551,서울,은평구,갈현1동,23349.37583
11380552,서울,은평구,갈현2동,22544.77531
11380560,서울,은평구,구산동,25335.19133
11380570,서울,은평구,대조동,40989.64893
11380580,서울,은평구,응암1동,23973.03526
11380590,서울,은평구,응암2동,15070.47092
11380600,서울,은평구,응암3동,24467.24252
11380625,서울,은평구,역촌동,42106.99017
11380631,서울,은평구,신사1동,23906.02003
11380632,서울,은평구,신사2동,13433.61807
11380640,서울,은평구,증산동,14113.86072
11380650,서울,은평구,수색동,11909.88752
11380690,서울,은평구,진관동,61868.53798
11410520,서울,서대문구,천연동,16657.42534
11410555,서울,서대문구,북아현동,38105.53804
11410565,서울,서대문구,충현동,40180.78957
11410585,서울,서대문구,신촌동,55755.72756
11410615,서울,서대문구,연희동,37640.39569
11410620,서울,서대문구,홍제1동,23927.02023
11410640,서울,서대문구,홍제3동,15925.65956
11410655,서울,서대문구,홍제2동,10212.99912
11410660,서울,서대문구,홍은1동,14235.66225
11410685,서울,서대문구,홍은2동,24421.7518
11410690,서울,서대문구,남가좌1동,7376.573716
11410700,서울,서대문구,남가좌2동,19660.36709
11410710,서울,서대문구,북가좌1동,14195.07097
11410720,서울,서대문구,북가좌2동,36546.31473
11440555,서울,마포구,아현동,25579.98299
11440565,서울,마포구,공덕동,39257.59403
11440585,서울,마포구,도화동,16268.41984
11440590,서울,마포구,용강동,29779.29422
11440600,서울,마포구,대흥동,22797.81869
11440610,서울,마포구,염리동,12990.86373
11440630,서울,마포구,신수동,17754.40915
11440655,서울,마포구,서강동,27333.41293
11440660,서울,마포구,서교동,70843.94033
11440680,서울,마포구,합정동,22639.21315
11440690,서울,마포구,망원1동,20056.25106
11440700,서울,마포구,망원2동,16889.10483
11440710,서울,마포구,연남동,18501.75441
11440720,서울,마포구,성산1동,21513.40448
11440730,서울,마포구,성산2동,35683.51935
11440740,서울,마포구,상암동,47472.88196
11470510,서울,양천구,목1동,44350.09163
11470520,서울,양천구,목2동,22955.81119
11470530,서울,양천구,목3동,17439.95326
11470540,서울,양천구,목4동,18555.75123
11470550,서울,양천구,목5동,38116.23992
11470560,서울,양천구,신월1동,14980.90583
11470570,서울,양천구,신월2동,14573.78299
11470580,서울,양천구,신월3동,13632.57651
11470590,서울,양천구,신월4동,11451.39121
11470600,서울,양천구,신월5동,8375.428657
11470610,서울,양천구,신월6동,4298.126472
11470611,서울,양천구,신월7동,15359.97511
11470620,서울,양천구,신정1동,18376.58745
11470630,서울,양천구,신정2동,13200.12825
11470640,서울,양천구,신정3동,41962.83123
11470650,서울,양천구,신정4동,32695.31729
11470670,서울,양천구,신정6동,19594.99918
11470680,서울,양천구,신정7동,21153.24276
11500510,서울,강서구,염창동,31154.94329
11500520,서울,강서구,등촌1동,22547.1498
11500530,서울,강서구,등촌2동,15955.26438
11500535,서울,강서구,등촌3동,40530.75828
11500540,서울,강서구,화곡1동,47868.43413
11500550,서울,강서구,화곡2동,12823.50334
11500560,서울,강서구,화곡3동,20095.55129
11500570,서울,강서구,화곡4동,17073.84396
11500590,서울,강서구,화곡본동,28423.43597
11500591,서울,강서구,화곡6동,20353.53585
11500593,서울,강서구,화곡8동,29040.15513
11500603,서울,강서구,가양1동,49333.97704
11500604,서울,강서구,가양2동,14682.59494
