node,위도,경도,범죄주의구간,인접노드,도로폭
93,37.48408,126.92734,8,155!79!132,17.2!3.8!43.6
94,37.48416,126.92804,7,132!80!89,42.0!3.9!42.0
95,37.48455,126.93106,6,89!90!96,36.7!3.7!37.7
96,37.48477,126.93247,7,95!91!97,39.8!4.8!39.0
97,37.48491,126.93343,4,96!154!117,39.9!6.0!40.2
117,37.485,126.93418,3,97!153!152,39.2!18.3!40.0
118,37.48543,126.93416,3,92!148!123!153,7.6!6.5!19.3!18.3
120,37.48974,126.92382,0,58!54,4.6!55.6
121,37.48911,126.92803,3,14!13!29,25.6!55.9!53.4
122,37.4867,126.93346,1,34!70!123,54.0!7.8!55.2
123,37.4864,126.9342,1,122!118!144,55.2!20.8!41.3
124,37.48596,126.92824,5,62!63!82,3.4!3.5!3.0
125,37.48516,126.929,6,82!83!63,6.5!7.1!3.0
126,37.4852,126.92704,4,75!76!127,5.4!5.4!2.9
127,37.48482,126.92718,5,79!128!132!126,6.3!7.3!4.9!2.9
128,37.48488,126.92743,5,127!80!129!76,7.3!3.7!7.4!3.5
129,37.48495,126.92773,4,80!77!131,7.4!5.4!6.8
130,37.48582,126.92776,4,53!62!131,3.3!3.3!4.2
131,37.48498,126.92796,4,129!81!130,6.8!7.1!4.2
132,37.48415,126.92768,7,93!94!127,43.3!43.4!4.8
133,37.48563,126.92626,3,50!51!45!134,5.0!5.0!3.0!4.7
134,37.48513,126.92634,4,133!74!75!78,5.1!5.5!5.5!3.9
135,37.48533,126.92535,3,73!163!74,0.6!4.7!2.8!
136,37.48612,126.92938,9,64!137!83,23.8!2.1!23.6
137,37.48628,126.93005,7,65!138!136,4.8!4.8!2.1
138,37.48563,126.93026,8,137!84!139,4.8!4.8!3.0
139,37.48572,126.93076,6,138!85!71,3.0!5.4!5.4
140,37.48601,126.93107,4,71!141!143,5.0!4.0!5.0
141,37.48555,126.9312,6,85!140!142,5.0!4.0!4.7
142,37.48568,126.93188,5,141!143!86,5.0!5.0!5.0
143,37.48611,126.93176,4,68!140!142,5.0!5.0!5.0
144,37.48616,126.93489,1,148!145!123,5.0!52.5!41.3
145,37.48601,126.93527,1,144!146!149,52.5!31.1!3.8
146,37.48586,126.9356,1,145!147!150,31.1!38.4!3.0
147,37.48568,126.93601,1,146!151,38.4!5.5
148,37.48545,126.93492,2,144!118!149,5.0!6.0!6.0
